TipType	TipTemplateId	Notice	zh_CN	en_US	pt_PT	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	Unnamed: 18	Unnamed: 19
枚举类型	模板说明	备注	中文	英文	葡萄牙语	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语		
1008001	msgIronMoney	msgIronMoney	%1s▢FFFFFFFF成功升级铁锻炉	%1s▢FFFFFFFF Upgrade Iron forge	%1s▢FFFFFFFF Atualizou a forja de ferro	%1s▢FFFFFFFF Atualizou a forja de ferro	%1s▢FFFFFFFF Обновление Железной кузницы	%1s▢FFFFFFFF 업그레이드 아이언 포지	%1s▢FFFFFFFF Mettre à niveau la forge de fer	%1s▢FFFFFFFF Mettre à niveau la forge de fer	%1s▢FFFFFFFF Actualizar forja de hierro	%1s▢FFFFFFFF Aggiorna Fucina di ferro	%1s▢FFFFFFFF Meningkatkan pemalsuan besi	%1s▢FFFFFFFF อัปเกรดเหล็กหลอม	%1s▢FFFFFFFF Yükseltme Demir dövmesi	%1s▢FFFFFFFF Nâng cấp lò rèn sắt thành công	%1s▢FFFFFFFFはフォージをアップグレードしました		
1008002	EnchantMentLeftTime	禁止放方块	▢FFFFFFFF此区域禁止放方块！	▢FFFFFFFFRestricted Area	▢FFFFFFFFÁrea restrita para colocar blocos	▢FFFFFFFFÁrea restrita para colocar blocos	▢FFFFFFFFЗона Границы!	▢FFFFFFFF 제한 구역	▢FFFFFFFFZone restreinte	▢FFFFFFFFZone restreinte	▢FFFFFFFF Área restringida	▢FFFFFFFF Area riservata	▢FFFFFFFFLarang Terbatas	▢FFFFFFFF เขตหวงห้าม	▢FFFFFFFFKısıtlı Alan	▢FFFFFFFFChỗ cấm đập block	▢FFFFFFFF制限区域		
1008003	msgOutOfWorld	掉入虚空提示	%1s ▢FFFFFFFF玩家掉入了虚空	%1s ▢FFFFFFFFhave dropped into the abyss	%1s ▢FFFFFFFF caíram no abismo	%1s ▢FFFFFFFF caíram no abismo	%1s ▢FFFFFFFF упал в пропасть	%1s ▢FFFFFFFF가 심연으로 떨어졌습니다.	%1s ▢FFFFFFFF sont tombés dans l'abîme	%1s ▢FFFFFFFF sont tombés dans l'abîme	%1s ▢FFFFFFFFha dejado caer al abismo	%1s ▢FFFFFFFF sono caduti nell'abisso	%1s ▢FFFFFFFFTelah jatuh ke dalam jurang	%1s ▢FFFFFFFF ได้ทิ้งลงในเหวแล้ว	%1s ▢FFFFFFFF uçuruma düştü	%1s ▢FFFFFFFrơi vào abyss	%1s▢FFFFFFFFが奈落の底に落ちました		
1008004	msgGameTip	游戏简介	▢71AE48玩法:保护你的床并摧毁敌人的床。收集铁锭、金锭，绿宝石和钻石来升级，使自身和队伍变得更强	▢71AE48Gameplay: Protect your bed and destroys your enemies beds in the process. Gather iron ingots, gold ingots, emerald and diamonds to upgrade yourself in order to make you and your team stronger.	▢71AE48GJogo: Proteja sua cama e destrua as camas de inimigos no processo. Reúna lingotes de ferro, lingotes de ouro, esmeralda e diamantes para se atualizar, a fim de fortalecer você e sua equipe.	▢71AE48GJogo: Proteja sua cama e destrua as camas de inimigos no processo. Reúna lingotes de ferro, lingotes de ouro, esmeralda e diamantes para se atualizar, a fim de fortalecer você e sua equipe.	▢71AE48Игровой процесс: Защитите свою и разрушайте вражеские кровати. Собирайте железные слитки, слитки, изумруды и бриллианты, чтобы модернизировать себя, чтобы сделать себя и свою команду сильнее.	▢71AE48게임 플레이 :이 과정에서 침대를 보호하고 적의 침대를 파괴하십시오. 철 주괴, 금 주괴, 에메랄드 및 다이아몬드를 모아서 자신과 팀을 강하게 만드십시오.	▢71AE48Gameplay: Protégez votre lit et détruit les lits de vos ennemis dans le processus. Rassemblez des lingots de fer, des lingots d'or, d'émeraude et de diamants pour vous mettre à niveau afin de vous renforcer, vous et votre équipe.	▢71AE48Gameplay: Protégez votre lit et détruit les lits de vos ennemis dans le processus. Rassemblez des lingots de fer, des lingots d'or, d'émeraude et de diamants pour vous mettre à niveau afin de vous renforcer, vous et votre équipe.	▢71AE48Gameplay: protege tu cama y destruye las camas de tus enemigos en el proceso. Reúne lingotes de hierro, lingotes de oro, esmeraldas y diamantes para mejorarte y fortalecerte a ti y a tu equipo.	▢71AE48Gameplay: proteggi il tuo letto e distrugge i letti dei nemici nel processo. Raccogli lingotti di ferro, lingotti d'oro, smeraldi e diamanti per migliorare te stesso e rafforzare te e la tua squadra.	▢71AE48Gameplay: Lindungi tempat tidur Anda dan hancurkan tempat tidur musuh Anda dalam proses. Kumpulkan besi batangan, batangan emas, zamrud dan berlian untuk meningkatkan diri Anda agar Anda dan tim Anda lebih kuat.	▢71AE48Gameplay: Protect your bed and destroys your enemies beds in the process. Gather iron ingots, gold ingots, emerald and diamonds to upgrade yourself in order to make you and your team stronger.	▢71AE48Oyun: Yatağınızı koruyun ve bu süreçte düşman yataklarınızı yok edin. Sizi ve ekibinizi daha güçlü hale getirmek için demir külçeleri, altın külçeleri, zümrüt ve elmasları toplayın.	▢71AE48Gameplay: Protect your bed and destroys your enemies beds in the process. Gather iron ingots, gold ingots, emerald and diamonds to upgrade yourself in order to make you and your team stronger.	▢71AE48遊び方：ベッドを保護し、その過程で敵のベッドを壊します。鉄塊、金塊、エメラルド、ダイヤモンドを集めてアップグレードし、あなたとあなたのチームをより強くします。		
1008005	msgKillTip	击杀显示	%1s ▢FFFFFFFF击杀了%2s	%1s ▢FFFFFFFFkilled%2s	%1s ▢FFFFFFFFmatar %2s	%1s ▢FFFFFFFFmatar %2s	%1s ▢FFFFFFFFубит %2s	%1s ▢FFFFFFFFkilled %2s	%1s ▢FFFFFFFFtraîné%2s	%1s ▢FFFFFFFFtraîné%2s	%1s ▢FFFFFFFFkilled%2s	%1s ▢FFFFFFFFkilled%2s	%1s ▢FFFFFFFF terampil%2s	%1s วินาที ▢FFFFFFFF ฝีมือ%2s วินาที	%1s ▢FFFFFFFFBitmiş%2s	%1s ▢FFFFFFFFgiết %2s	%1s▢FFFFFFFFは%2sをキルしました		
1008006	ShopLimit	特权限购一次	▢FFFFFFFF特权限购一次	▢FFFFFFFFCan only be purchased once	▢FFFFFFFFPrivilégio ser comprado apenas uma vez	▢FFFFFFFFPrivilégio ser comprado apenas uma vez	▢FFFFFFFFМожно купить только раз	▢FFFFFFFF 한 번만 구매 가능	▢FFFFFFFFPeut être acheté une seule fois	▢FFFFFFFFPeut être acheté une seule fois	▢FFFFFFFF Solo se puede comprar una vez	▢FFFFFFFFPuò essere acquistato una sola volta	▢FFFFFFFFCan hanya dapat dibeli satu kali	▢FFFFFFFFC สามารถซื้อได้เพียงครั้งเดียว	▢FFFFFFFFCYalnızca bir kez satın alınabilir	▢FFFFFFFFchỉ có thể mua 1 lần	▢FFFFFFFF1回のみ購入できます		
1008007	msgBuySuccess	购买成功	▢FFFFFFFF购买成功	▢FFFFFFFFPurchase successful	▢FFFFFFFFComprar com sucesso	▢FFFFFFFFComprar com sucesso	▢FFFFFFFFПокупка успешна	성공한▢FFFFFFFF 구매 성공	▢FFFFFFFFKauf erfolgreich	FFFFFFFFachat réussi	▢FFFFFFFFCompra exitosa	▢FFFFFFFF Acquisto riuscito	▢FFFFFFFFPembelian berhasil	▢FFFFFFFF ซื้อสำเร็จ	▢FFFFFFFFSatın alma başarılı	▢FFFFFFFFMua thành công	▢FFFFFFFF購入しました		
1008008	msgEmerald	钻石点信息	等级%1s 钻石 将在%2s秒后产出	Level%1s Diamond will start generating in %2s	Nível%1s Diamonte começará a gerar em%2s	Nível%1s Diamonte começará a gerar em%2s	Уровень%1s Алмаз генерируется через %2s	%1s 다이아몬드가 %2s에서 생성되기 시작합니다.	Niveau%1s Diamond commencera à générer dans%2s	Niveau%1s Diamond commencera à générer dans%2s	El nivel%1s Diamond comenzará a generar en%2s	Livello%1s Il diamante inizierà a generare in%2s	Level%1s Diamond akan mulai menghasilkan dalam%2s	ระดับ%1s Diamond จะเริ่มสร้างใน%2s วินาที	Seviye%1s Diamond%2s içinde üretmeye başlayacak	Cấp%1s Kim cương sẽ xuất ra sau %2s	レベル%1sダイヤモンドは%2sで生成を開始します		
1008009	msgDiamond	绿宝石点信息	等级%1s 绿宝石 将在%2s秒后产出	Level%1s Emerald will start generating in %2s	Nível%1s Emerald começará a gerar em%2s	Nível%1s Emerald começará a gerar em%2s	Уровень%1s Изумруд начнет генерироваться через %2s	레벨 %1s 에메랄드가 %2s에서 생성을 시작합니다	Niveau%1s Emerald commencera à générer dans%2s	Niveau%1s Emerald commencera à générer dans%2s	El nivel%1s Emerald comenzará a generar en%2s	Emerald di livello%1s inizierà a generare in%2s	Level%1s Emerald akan mulai menghasilkan dalam%2s	ระดับ%1s Emerald จะเริ่มสร้างใน%2s วินาที	Seviye%1s Emerald%2s içinde üretmeye başlayacak	Cấp%1s ngọc bích sẽ xuất ra sau %2s	レベル%1sエメラルドは%2sで生成を開始します		
