TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
枚举类型(游戏独有的id合成方式，等于游戏id+三位，比如g1019,id组成就是1019XXX)	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语	波兰语
1023501	BuildingBattle	建筑战争	建筑战争	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle	Build Battle
1023502	BuildingBattleReadyTime		▢FF00FF00你有▢FFFF0000%1s秒▢FF00FF00的时间准备	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00 Tempo de preparação: ▢FFFF0000%1s	▢FF00FF00У вас ▢FFFF0000%1s сек▢FF00FF00 чтобы приготовиться	▢FF00FF00 준비 시간 : ▢FFFF0000 %1s	▢FF00FF00 Vorbereitungszeit: ▢FFFF0000%1s	▢FF00FF00 Temps de préparation: ▢FFFF0000 %1s	▢FF00FF00 Tiempo de preparación: ▢FFFF0000%1s	▢FF00FF00 Tempo di preparazione: ▢FFFF0000%1s	▢FF00FF00Anda memiliki ▢FFFF0000%1s detik▢FF00FF00 untuk bersiap-siap	▢FF00FF00คุณมี▢FFFF0000%1sวินาที▢FF00FF00ที่จะเตรียมตัว	▢FF00FF00 Hazırlama süresi: ▢FFFF0000%1s	▢FF00FF00 Thời gian chuẩn bị: ▢FFFF0000%1s	▢FF00FF00準備時間： ▢FFFF0000%1s	▢FF00FF00 Czas przygotowania: ▢FFFF0000%1s
1023503	BuildingBattleBuildTip		▢FF00FF00你还有▢FFFF0000%1s秒▢FF00FF00的时间建筑	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00 Tempo de compilação: ▢FFFF0000%1s	▢FF00FF00У вас ▢FFFF0000%1s сек▢FF00FF00 чтобы строить	▢FF00FF00 빌드 시간 : ▢FFFF0000 %1s	▢FF00FF00 Build-Zeit: ▢FFFF0000%1s	▢FF00FF00 Temps de construction: ▢FFFF0000 %1s	▢FF00FF00 Tiempo de compilación: ▢FFFF0000%1s	▢FF00FF00 Tempo di costruzione: ▢FFFF0000%1s	▢FF00FF00Anda memiliki ▢FFFF0000%1s detik▢FF00FF00 untuk membangun	▢FF00FF00คุณยังมี▢FFFF0000%1sวินาที▢FF00FF00ที่จะก่อสร้าง	▢FF00FF00 Yapım süresi: ▢FFFF0000%1s	▢FF00FF00 Thời gian xây dựng: ▢FFFF0000%1s	▢FF00FF00ビルド時間：▢FFFF0000%1s	▢FF00FF00 Czas kompilacji: ▢FFFF0000%1s
1023504	BuildingBattleReadytoGrade		▢FF00FF00时间到，准备开始打分	▢FF00FF00Time out，Ready to grade	▢FF00FF00 Tempo limite, pronto para pontuar	▢FF00FF00Время вышло，приготовьтесь оценивать	▢FF00FF00 시간 초과, 득점 준비	▢FF00FF00 Auszeit, bereit zu punkten	▢FF00FF00 Temps mort, prêt à marquer	▢FF00FF00 Tiempo fuera, listo para anotar	▢FF00FF00 Time out, pronto a segnare	▢FF00FF00waktu habis, Bersiap untuk dinilai !	▢FF00FF00ถึงเวลา เตรียมที่จะให้คะแนน	▢FF00FF00 Zaman aşımı, skor yapmaya hazır	▢FF00FF00 Hết giờ, sẵn sàng ghi bàn	▢FF00FF00タイムアウト、採点準備完了	▢FF00FF00 Limit czasu, gotowy do zdobycia
1023505	BuildingBattleStartGuess		▢FF00FF00竞猜环节开始	▢FF00FF00Guess Start !	▢FF00FF00 Questionário é iniciado	▢FF00FF00Угадайте, кто станет победителем прямо сейчас!	▢FF00FF00 퀴즈 시작	▢FF00FF00 Das Quiz beginnt	▢FF00FF00 commence le questionnaire	▢FF00FF00 Quiz Comienza el concurso	▢FF00FF00 Inizia il quiz	▢FF00FF00Permainan dimulai!	▢FF00FF00ขั้นตอนการเดาคำถามเริ่มขึ้น	▢FF00FF00 Quiz başlar	▢FF00FF00 Câu đố bắt đầu	▢FF00FF00クイズが始まります	▢FF00FF00 Rozpoczyna się quiz
1023506	BuildingBattleGuessLeft		▢FF00FF00竞猜环节还有▢FFFF0000%1s秒▢FF00FF00时间	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00 Tempo de teste: ▢FFFF0000%1s	▢FF00FF00У вас ▢FFFF0000%1s сек▢FF00FF00 чтобы угадать победителя	▢FF00FF00 퀴즈 시간 : ▢FFFF0000 %1s	▢FF00FF00 Quizzeit: ▢FFFF0000%1s	▢FF00FF00 Durée du questionnaire: ▢FFFF0000 %1s	▢FF00FF00 Tiempo de prueba: ▢FFFF0000%1s	▢FF00FF00 Tempo del quiz: ▢FFFF0000%1s	▢FF00FF00Anda memiliki ▢FFFF0000%1s detik▢FF00FF00 untuk menebak	▢FF00FF00ขั้นตอนการเดาคำถามยังมี▢FFFF0000%1sวินาที▢FF00FF00เวลา	▢FF00FF00 Sınav süresi: ▢FFFF0000%1s	▢FF00FF00 Thời gian kiểm tra: ▢FFFF0000%1s	▢FF00FF00クイズタイム： ▢FFFF0000%1s	▢FF00FF00 Czas quizu: ▢FFFF0000%1s
1023507	BuildingBattleStartGradeOther		请给玩家打分	Grade for other players	Avalie outros jogadores	Оценка других игроков	다른 플레이어 평가하기	Bewerten Sie andere Spieler	Évaluez les autres joueurs	Puntuar otros jugadores	Valuta altri giocatori	Nilai untuk pemain lain	โปรดให้คะแนนแก่ผู้เล่น	Diğer oyunculara puan verin	Đánh giá người chơi khác	他のプレイヤーを評価する	Oceń innych graczy
1023508	BuildingBattleStartGradeSelf		等待其他玩家打分	Wait for other players	Esperando outros jogadores marcarem	Ожидание других игроков	다른 플레이어가 점수를 기다리는 중	Warten auf das Tor anderer Spieler	Attendre que les autres joueurs marquent	Esperando a que otros jugadores anoten	Aspettando che gli altri giocatori segnino	Tunggu untuk pemain lain	รอผู้เล่นอื่นให้คะแนน	Diğer oyuncuların gol atmasını beklemek	Chờ người chơi khác ghi bàn	他のプレイヤーが得点するのを待っている	Oczekiwanie na zdobycie punktów przez innych graczy
1023509	BuildingBattleGradeTip		这是什么鬼！	What the hell	Muito mal	Что за чертовщина	아주 나쁜	Sehr schlecht	Très mauvais	Muy mal	Molto brutto	Apa-apaan	นี่คือผีอะไร	Çok kötü	Rất tệ	ひどい	Bardzo źle
1023510	BuildingBattleGradeTip		不行	Bad	Mau	Плохо	나쁜	Schlecht	Mal	Malo	Male	Buruk	ไม่ได้	Kötü	Xấu	悪い	Zły
1023511	BuildingBattleGradeTip		过关	Pass	Não é ruim	Пойдет	나쁘지 않다	Nicht schlecht	Pas mal	No está mal	Non male	Cukup	ผ่าน	Fena değil	Không tệ	悪くない	Nie jest zły
1023512	BuildingBattleGradeTip		挺好的	Good	Boa	Хорошо	좋은	Gut	Bien	Bueno	Buono	Baik	ดีมาก	İyi	Tốt	良い	Dobry
1023513	BuildingBattleGradeTip		棒	Very good	Muito bom	Очень хорошо	아주 좋아.	Sehr gut	très bien	Muy bien	Molto buona	Sangat baik	เก่ง	Çok iyi	Rất tốt	とても良い	Bardzo dobrze
1023514	BuildingBattleGradeTip		神作啊！	Perfect	Perfeito	Идеально	완전한	Perfekt	Parfait	Perfecto	Perfezionare	Sempurna	ยอดเยี่ยม	Mükemmel	Hoàn hảo	完璧な	Idealny
1023515	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000这是什么鬼！	Final Score ▢FFFF0000what the hell	Ponto : ▢FFFF0000Muito ruim	Финальная оценка ▢FFFF0000что за чертовщина	점수 :▢FFFF0000 아주 나쁨	Punktzahl:▢FFFF0000Sehr schlecht	Score: ▢FFFF0000Très mauvais	Puntuación: ▢FFFF0000 Muy mal	Punteggio: ▢FFFF0000 Molto male	Skor Terakhir ▢FFFF0000Apa-apaan	คะแนนสุดท้ายที่ให้คือ▢FFFF0000นี่คือผีอะไร	Puan: ▢FFFF0000 Çok kötü	Điểm: ▢FFFF0000 Rất tệ	スコア：▢FFFF0000ひどい	Wynik: ▢FFFF0000 Bardzo źle
1023516	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000不行	Final Score ▢FFFF0000bad	Ponto : ▢FFFF0000Bad	Финальная оценка ▢FFFF0000плохо	점수 :▢FFFF0000 나쁜	Punktzahl:▢FFFF0000Schlecht	Score: ▢FFFF0000Mal	Puntuación: ▢FFFF0000 Malo	Punteggio: ▢FFFF0000 Male	Skor Terakhir ▢FFFF0000jelek	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ไม่ได้	Puan: ▢FFFF0000 Kötü	Điểm: ▢FFFF0000 Xấu	スコア：▢FFFF0000悪い	Wynik: ▢FFFF0000 Zły
1023517	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000过关	Final Score ▢FFFF0000pass	Ponto : ▢FFFF0000Não é mau	Финальная оценка ▢FFFF0000пойдет	점수 :▢FFFF0000 나쁨	Punktzahl:▢FFFF0000Nicht schlecht	Score: ▢FFFF0000Pas mal	Puntuación: ▢FFFF0000 No está mal	Punteggio: ▢FFFF0000 Non male	Skor Terakhir ▢FFFF0000cukup	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ผ่าน	Puan: ▢FFFF0000 Fena değil	Điểm: ▢FFFF0000 Không tệ	スコア：▢FFFF0000悪くない	Wynik: ▢FFFF0000 Nieźle
1023518	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000挺好的	Final Score ▢FFFF0000good	Ponto : ▢FFFF0000Bom	Финальная оценка ▢FFFF0000хорошо	점수 :▢FFFF0000 좋은	Punktzahl:▢FFFF0000Gut	Score: ▢FFFF0000Bien	Puntuación: ▢FFFF0000 Bueno	Punteggio: ▢FFFF0000 Buono	Skor Terakhir ▢FFFF0000baik	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ดีมาก	Puan: ▢FFFF0000 İyi	Điểm: ▢FFFF0000 Tốt	スコア：▢FFFF0000良い	Wynik: ▢FFFF0000 Dobry
1023519	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000棒	Final Score ▢FFFF0000very good	Ponto : ▢FFFF0000Muito bom	Финальная оценка ▢FFFF0000очень хорошо	점수 :▢FFFF0000 아주 좋습니다	Punktzahl:▢FFFF0000Sehr gut	Score: ▢FFFF0000Très bien	Puntuación: ▢FFFF0000 Muy bien.	Punteggio: ▢FFFF0000 Molto buono	Skor Terakhir ▢FFFF0000sangat baik	คะแนนสุดท้ายที่ให้คือ▢FFFF0000เก่ง	Puan: ▢FFFF0000 Çok iyi	Điểm: ▢FFFF0000 Rất tốt	スコア：▢FFFF0000とても良い	Wynik: ▢FFFF0000 Bardzo dobrze
1023520	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000神作啊！	Final Score ▢FFFF0000perfect	Ponto : ▢FFFF0000Perfeito	Финальная оценка ▢FFFF0000идеально	점수 :▢FFFF0000 완벽	Punktzahl:▢FFFF0000Perfekt	Score: ▢FFFF0000Parfait	Puntuación: ▢FFFF0000 Perfecto	Punteggio: ▢FFFF0000 Perfetto	Skor Terakhir ▢FFFF0000sempurna	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ยอดเยี่ยม	Puan: ▢FFFF0000 Mükemmel	Điểm: ▢FFFF0000 Hoàn hảo	スコア：▢FFFF0000完璧	Wynik: ▢FFFF0000 Idealny
1023521	BuildingBattleWinner		▢FF00FF00第一名：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00NO.1 ：▢FFFF0000%1s	▢FF00FF00Победитель:▢FFFF0000%1s	▢FF00FF00NO.1 : ▢FFFF0000 %1s	▢FF00FF00NO.1: ▢FFFF0000%1s	▢FF00FF00NO.1: ▢FFFF0000%1s	▢FF00FF00NO.1: ▢FFFF0000%1s	▢FF00FF00NO.1: ▢FFFF0000%1s	▢FF00FF00Pemenang:▢FFFF0000%1s	▢FF00FF00ที่หนึ่ง：▢FFFF0000%1s	▢FF00FF00NO.1: ▢FFFF0000%1s	▢FF00FF00NO.1: ▢FFFF0000%1s	▢FF00FF00NO.1：▢FFFF0000%1s	▢FF00FF00NO.1 ： ▢FFFF0000%1s
1023522	BuildingBattleCanNotGradeSelf		▢FFFF0000无法给自己打分	▢FFFF0000Can not score yourself!	▢FFFF0000Não pode dar uma pontuação	▢FFFF0000Нельзя голосовать за себя!	▢FFFF0000 자신에게 점수를주지 마라.	▢FFFF0000Kann dir keine Punktzahl geben	▢FFFF0000Ne peut pas vous donner un score	▢FFFF0000No puedes darte una puntuación	▢FFFF0000 Non puoi fare un punteggio	▢FFFF0000Tidak bisa menilai diri sendiri!	▢FFFF0000ไม่สามารถให้คะแนนแก่ตนเองได้	▢FFFF0000 Kendine puan veremiyorum	▢FFFF0000 Không thể cho mình một điểm số	▢FFFF0000あなた自身にスコアを与えることはできません	▢FFFF0000Nie dajesz sobie wyniku
																	
																	
																	
																	
																	
																	
		#1023001~1023500题库															
1023001	BuildingBattleQuestion	苹果	苹果	Apple	Maçã	Яблоко	애플	Apple	Pomme	Manzana	Mela	Apel	แอปเปิ้ล	elma	Táo	りんご	Apple
1023002	BuildingBattleQuestion	香蕉	香蕉	Banana	Banana	Банан	바나나	Banane	Banane	Plátano	Banana	Pisang	กล้วย	muz	Chuối	バナナ	Banan
1023003	BuildingBattleQuestion	西瓜	西瓜	Watermelon	Melancia	Арбуз	수박	Wassermelone	Pastèque	Sandía	Anguria	Semangka	แตงโม	karpuz	Dưa hấu	スイカ	Arbuz
1023004	BuildingBattleQuestion	葡萄	葡萄	Grapes	Uva	Виноград	포도	Traube	Raisin	Uva	Uva	Anggur	องุ่น	üzüm	Nho	ぶどう	Winogrono
1023005	BuildingBattleQuestion	菠萝	菠萝	Pineapple	Abacaxi	Ананас	파인애플	Ananas	Ananas	Piña	ananas	Nanas	สับปะรด	ananas	Dứa	パイナップル	Ananas
1023006	BuildingBattleQuestion	医生	医生	Doctor	Médico	Доктор	의사	Doktor	Docteur	Doctor	Medico	Dokter	หมอ	tıbbi	Bác sĩ	医者	Doktorze
1023007	BuildingBattleQuestion	护士	护士	Nurse	Enfermeira	Медсестра	간호사	Krankenschwester	Infirmière	Enfermera	Infermiera	Perawat	พยาบาล	hemşire	Y tá	看護師	Pielęgniarka
1023008	BuildingBattleQuestion	警察	警察	Police	Polícia	Полицейский	경찰	Polizei	Police	Policia	Polizia	Polisi	ตำรวจ	polis	Cảnh sát	警察	Policja
1023009	BuildingBattleQuestion	公主	公主	Princess	Princesa	Принцесса	공주	Prinzessin	Princesse	Princesa	Principessa	Putri	เข้าหญิง	prenses	Công chúa	プリンセス	Księżniczka
1023010	BuildingBattleQuestion	国王	国王	King	King	Король	왕	König	Le roi	Rey	re	Raja	กษัตริย์	kral	Vua	王様	King
1023011	BuildingBattleQuestion	雪人	雪人	Snowman	Boneco de neve	Снеговик	눈사람	Schneemann	Bonhomme de neige	Muñeco de nieve	Pupazzo di neve	Orang Salju	คนหิมะ	kardan adam	Người tuyết	雪だるま	Bałwan
1023012	BuildingBattleQuestion	猫	猫	Cat	Cat	Кот	고양이	Cat	Chat	Gato	Gatto	Kucing	แมว	kedi	Mèo	ねこ	Kot
1023013	BuildingBattleQuestion	狗	狗	Dog	Cão	Собака	개	Hund	Chien	Perro	Cane	Anjing	หมา	köpek	Chó	犬	Pies
1023014	BuildingBattleQuestion	牛	牛	Cow	Vaca	Корова	암소	Kuh	Vache	Vaca	Mucca	Sapi	ควาย	inek	Bò	牛	Krowa
1023015	BuildingBattleQuestion	羊	羊	Sheep	Ovelhas	Овца	양	Schafe	Moutons	Ovejas	pecora	Kambing	แกะ	koyun	Cừu	ひつじ	Owce
1023016	BuildingBattleQuestion	企鹅	企鹅	Penguin	Pinguim	Пингвин	펭귄	Pinguin	Pingouin	Pinguino	Pinguino	Pinguin	นกเพนกวิน	penguen	Chim cánh cụt	ペンギン	Pingwin
1023017	BuildingBattleQuestion	猪	猪	Pig	Porco	Свинья	돼지	Schwein	Cochon	Cerdo	Maiale	Babi	หมู	domuz	Lợn	豚	Świnia
1023018	BuildingBattleQuestion	恐龙	恐龙	Dinosaur	Dinossauro	Динозавр	공룡	Dinosaurier	Dinosaure	Dinosaurio	Dinosauro	Dinosaur	ไดโนเสาร์	dinozor	Khủng long	恐竜	Dinozaur
1023019	BuildingBattleQuestion	床	床	Bed	Cama	Кровать	침대	Bett	Lit	Cama	Letto	Ranjang	เตียง	yatak	Giường	ベッド	Łóżko
1023020	BuildingBattleQuestion	衣柜	衣柜	Wardrobe	Guarda-roupa	Шкаф	옷장	Kleiderschrank	Garde-robe	Guardarropa	Armadio	Lemari Pakaian	ตู้เสื้อ	dolap	Tủ quần áo	ワードローブ	Szafa
1023021	BuildingBattleQuestion	沙发	沙发	Sofa	Sofá	Диван	소파	Sofa	Un canapé	El sofá	Divano	Sofa	โซฟา	kanepe	Sofa	ソファ	Sofa
1023022	BuildingBattleQuestion	书桌	书桌	Desk	Escrivaninha	стол	책상	Schreibtisch	Bureau	Escritorio	Scrivania	Meja	โต๊ะ	masa	Bàn	机	Biurko
1023023	BuildingBattleQuestion	椅子	椅子	Chair	Cadeira	Стульчик	의자	Lehrstuhl	Chaise	Silla	Sedia	Kursi	เก้าอี้	sandalye	Ghế	いす	Przewodniczący
1023024	BuildingBattleQuestion	伞	伞	Umbrella	Guarda-chuva	Зонтик	우산	Regenschirm	Parapluie	Paraguas	Ombrello	Payung	ร่ม	şemsiye	Ô dù	傘	Parasol
1023025	BuildingBattleQuestion	杯子	杯子	Cup	Taça	Кружка	컵	Tasse	Tasse	Copa	Tazza	Gelas	แก้ว	fincan	Cốc	カップ	Puchar
1023026	BuildingBattleQuestion	公交车	公交车	Bus	Ônibus	Автобус	버스	Bus	Bus	Autobús	Autobus	Bis	รถประจำทาง	otobüs	Xe buýt	バス	Autobus
1023027	BuildingBattleQuestion	大卡车	大卡车	Trucks	Caminhão grande	Грузовики	큰 트럭	Großer LKW	Gros camion	Camion grande	camion	Truk	รถบรรทุกขนาดใหญ่	Büyük kamyon	Xe tải lớn	大きなトラック	Duża ciężarówka
1023028	BuildingBattleQuestion	小汽车	小汽车	Car	Carro	Автомобиль	자동차	Auto	Voiture	Coche	Auto	Mobil	รถยนต์เล็ก	küçük araba	Xe hơi	車	Samochód
1023029	BuildingBattleQuestion	救护车	救护车	Ambulance	Ambulância	Скорая помощь	구급차	Krankenwagen	Ambulance	Ambulancia	Ambulanza	Ambulan	รถพยาบาล	ambulans	Xe cứu thương	救急車	Karetka
1023030	BuildingBattleQuestion	警车	警车	Police car	Carro de polícia	Полицейская машина	경찰차	Polizeiauto	Voiture de police	Coche de policia	Auto della polizia	Mobil Polisi	รถตำรวจ	Polis arabası	Xe cảnh sát	パトカー	Samochód policyjny
