TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
枚举类型	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语	波兰语
1	Minute	通用	分钟	 minutes	 Minutos	минуты	 분	 Minuten	 Minutes	 Minutos	 Minuto	 Menit	นาที	 Dakika	 phút	分	minutes
2	Second		秒	 seconds	 Segundos	секунды	 초	 Sekunden	 Secondes	 Segundos	 Secondo	 Detik	วิ	 Saniye	 giây	秒	seconds
3	MsgWelcomePlayer		▢FF00FF00欢迎来到▢FFFFFFFF%1s▥	▢FF00FF00Welcome to ▢FFFFFFFF%1s.▥	▢FF00FF00Bem Vindo ▢FFFFFFFF%1s.▥	▢FF00FF00Добро пожаловать в ▢FFFFFFFF%1s.▥	▢FF00FF00에 오신 것을 환영합니다.▢FFFFFFFF%1s▥	▢FF00FF00Willkommen bei▢FFFFFFFF%1s▥	▢FF0000FFBienvenue ▢FFFF0000%1s▥	Bienvenido a ▢FFFFFFFF%1s	▢FF00FF00Benvenuto in %1s	▢FF00FF00Selamat datang di ▢FFFFFFFF%1s	▢FF00FF00ยินดีต้อนรับสู่▢FFFFFFFF%1s▢FF00FF00 วินาท.▥	▢FF00FF00Hoş geldiniz ▢FFFFFFFF%1s	▢FF00FF00Chào mừng đến với ▢FFFFFFFF%1s	▢FFFFFFFFゲームに入る▢FFFFFFFF%1s	▢FF00FF00Welcome do ▢FFFFFFFF%1s.▥
4	MsgWaitPlayerEnough		▢FF00FF00等待足够的玩家进入游戏，游戏将在%1s%2s▢FF00FF00后开始。▥	▢FF00FF00Waiting for enough players otherwise game will start in %1s %2s▥	▢FF00FF00Esperando jogadores, o jogo começará em %1s %2s▥	▢FF00FF00Ожидание достаточного количества игроков или игра начнётся через %1s %2s▥	▢FF00FF00다른 게이머가 게임에 들어오기를 기다려주세요. 게임은 %1s%2s▢FF00FF00후에 시작합니다.▥	▢FF00FF00Warte auf genügend Spieler, das Spiel wird nach%1s%2s▢FF00FF00 beginnen.▥	▢FF0000FFVeuillez patienter que suffisamment de joueurs entrent dans le jeu et le jeu débutera après ▢FF00FF00%1s%2s	▢FF00FF00Espere que suficientes jugadores entren al juego y el juego comenzará después de▢FF00FF00%1s%2s.	▢FF00FF00Attendi che entrino in gioco abbastanza giocatori e il gioco inizierà dopo ▢FFFF0000%1s%2s.	▢FF00FF00Tunggu pemain yang cukup masuk pada dalam game dan akan dimulai setelah ▢FF00FFFF%1s%2s.	▢FF00FF00รอให้ผู้เล่นาเกมให้เข้าครบและเกมจะเริ่มขึ้นหลังจาก%1s%2s▥	▢FF00FF00Yeterli oyuncunun oyuna girmesi için bekleyin ve oyun %1s%2s▢FF00FF00 sonra başlayacak.	▢FF00FF00Chờ đủ người chơi vào tham gia, trò chơi sẽ bắt đầu sau ▢FF00FFFF%1s%2s.	▢FF00FF00十分なプレイヤーがゲームに参加するのを待っています.ゲーム開始時間:▢FF00FF00%1s%2s	▢FF00FF00 Czekając na wystarczającą liczbę graczy, inaczej gra rozpocznie się w%1s%2s▥
5	MsgGameStartTimeHint		▢FF00FF00游戏将在%1s%2s▢FF00FF00后开始。▥	▢FF00FF00The game will start in %1s %2s▥	▢FF00FF00O Jogo Começará em %1s %2s▥	▢FF00FF00Игра начнётся через %1s %2s▥	▢FF00FF00게임은 %1s%2s후에 시작합니다.▥	▢FF00FF00Das Spiel wird nach %1s%2s▢FF00FF00 beginnen.▥	▢FF0000FFLe jeu débutera dans▢FFFF0000%1s%2s.	▢FF00FF00El juego comenzará después de▢FF00FF00%1s%2s..	▢FF00FF00Il gioco inizierà dopo ▢FFFF0000%1s%2s.	▢FF00FF00Game akan dimulai setelah ▢FF00FFFF%1s%2s.	▢FF00FF00เกมจะเริ่มต้นหลังจาก%1s%2s▥	▢FF00FF00Oyun %1s%2s▢FF00FF00 sonra başlayacak.	▢FF00FF00Trò chơi sẽ bắt đầu sau ▢FF00FFFF%1s%2s.	▢FF00FF00ゲーム開始時間:▢FF00FF00%1s%2s	▢FF00FF00 Gra rozpocznie się w%1s%2s▥
6	MsgGameEndTimeHint		▢FF00FF00游戏将在%1s%2s▢FF00FF00后结束。▥	▢FF00FF00The game will end after %1s %2s▥	▢FF00FF00O Jogo Vai Acabar Após %1s %2s▥	▢FF00FF00Игра закончится через %1s %2s▥	▢FF00FF00게임은 %1s%2s후에 끝납니다.▥	▢FF00FF00Das Spiel wird nach %1s%2s▢FF00FF00 enden.▥	▢FF0000FFLe jeu se terminera dans ▢FFFF0000%1s%2s.	▢FF00FF00El juego terminará en▢FF00FF00%1s%2s..	▢FF00FF00Il gioco terminerà in ▢FFFF0000%1s%2s.	▢FF00FF00Game akan berakhir di ▢FF00FFFF%1s%2s.	▢FF00FF00เกมจะจบหลังจาก%1s%2s▥	▢FF00FF00Oyun %1s%2s▢FF00FF00 sona erecek.	▢FF00FF00Trò chơi sẽ kết thúc sau ▢FF00FFFF%1s%2s.	▢FF00FF00ゲーム終了時間:▢FF00FF00%1s%2s	▢FF00FF00 Gra zakończy się po%1s%2s▥
7	MsgPvpEnableAfter		▢FF00FF00PVP将在%1s%2s▢FF00FF00后开始。▥	▢FF00FF00PVP enables after %1s %2s▥	▢FF00FF00O PVP Vai Começar em %1s %2s▥	▢FF00FF00PVP будет включено через %1s %2s▥	▢FF00FF00PVP는 %1s%2s후에 시작합니다.▥	▢FF00FF00PVP wird nach %1s%2s▢FF00FF00 beginnen.▥	▢FF0000FFPVP débutera dans ▢FFFF0000%1s%2s.	▢FF00FF00PVP comenzará después de▢FF00FF00%1s%2s..	▢FF00FF00PVP inizierà dopo ▢FFFF0000%1s%2s.	▢FF00FF00PVT akan dimulai setelah ▢FF00FFFF%1s%2s.	▢FF00FF00PVP จะเริ่มหลังจาก %1s%2s▥	▢FF00FF00PVP %1s%2s▢FF00FF00 sonra başlayacak.	▢FF00FF00PVP sẽ bắt đầu sau ▢FF00FFFF%1s%2s.	▢FF00FF00PVPから開始:▢FF00FF00%1s%2s	00FF00FF00PVP włącza po%1s%2s▥
8	MsgFightGameStartTimeHint		▢FF00FF00最后的决斗将在%1s%2s▢FF00FF00后开始。▥	▢FF00FF00Death match will start after %1s %2s▥	▢FF00FF00ABatalha da morte vai começar em %1s %2s▥	▢FF00FF00Последний матч начнётся через %1s %2s▥	▢FF00FF00최후의 결투는 %1s%2s후에 시작합니다.▥	▢FF00FF00Das finale Duell wird nach %1s%2s▢FF00FF00 beginnen.▥	▢FF0000FFLa bataille finale débutera dans ▢FFFF0000%1s%2s.	▢FF00FF00El duelo final comenzará después de▢FF00FF00%1s%2s..	▢FF00FF00Il duello finale inizierà dopo ▢FFFF0000%1s%2s.	▢FF00FF00Duel terakhir akan dimulai setelah ▢FF00FFFF%1s%2s.	▢FF00FF00การต่อสู้ครั้งสุดท้ายจะเริ่มขึ้นหลังจาก%1s%2s▥	▢FF00FF00Final düello %1s%2s▢FF00FF00 sonra başlayacak.	▢FF00FF00Quyết đấu cuối cùng sẽ bắt đầu sau ▢FF00FFFF%1s%2s.	▢FF00FF00最後の決闘が始まります:▢FF00FF00%1s%2s	▢FF00FF00Death match rozpocznie się po%1s%2s▥
9	MsgCloseServerTimeHint		▢FF00FF00服务器将在%1s%2s▢FF00FF00后关闭。▥	▢FF00FF00Server will be closed after %1s %2s▥	▢FF00FF00O Servidor vai fechar em %1s %2s▥	▢FF00FF00Сервер будет закрыт через %1s %2s▥	▢FF00FF00서버는 %1s%2s후에 닫겠습니다.▥	▢FF00FF00Der Server wird nach %1s%2s▢FF00FF00 schließen.▥	▢FF0000FFLe serveur s'arrêtera dans ▢FFFF0000%1s%2s.	▢FF00FF00El servidor se apagará después de▢FF00FF00%1s%2s..	▢FF00FF00Il server si spegnerà dopo ▢FFFF0000%1s%2s.	▢FF00FF00Server akan ditutup setelah ▢FF00FFFF%1s%2s.	▢FF00FF00เซิร์ฟเวอร์จะปิดหลังจาก%1s%2s▥	▢FF00FF00Sunucu %1s%2s▢FF00FF00 sonra kapanacak.	▢FF00FF00Máy chủ sẽ đóng sau ▢FF00FFFF%1s%2s.	▢FF00FF00サーバー終了時刻:▢FF00FF00%1s%2s	▢FF00FF00Server zostanie zamknięty po%1s%2s▥
